Comment,Designator,Footprint,LCSC
HX710C,U3,SOP-8_3.9x4.9mm_P1.27mm,C124156
LBAT54HT1G,D1,D_SOD-323,C12744
100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
100nF,"C10,C11",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
100,"R1,R2,R3,R4",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C22775
Conn_01x04_Female,"J10,J11",PinSocket_1x04_P2.54mm_Vertical,C2718488
USB-C,J12,my_HRO-TYPE-C-31-M-17,C283540
MMCX-KE-STM,"J2,J3,J5,J6",MMCX-SMD_KH-MMCX-KE-STM,C2898970
JST_SH_Conn_01x04_i2c_horizontal,J7,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C371571
2PAI_pi121M31,"U4,U5",SOIC-8_3.9x4.9mm_P1.27mm,C471593
Conn_01x02_Male_2.54mm,J4,PinHeader_1x02_P2.54mm_Vertical,C492401
Conn_01x03_Female,"J1,J8,J9",PinSocket_1x03_P2.54mm_Vertical,C541850
FM24C64C,U1,SOIC-8_3.9x4.9mm_P1.27mm,C66021
HX710B,U2,SOP-8_3.9x4.9mm_P1.27mm,C78447
LP5907MFX-3.3,U6,SOT-23-5,C80670
