Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.324999,-75.559999,90.0,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.224999,-88.734999,90.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.6,-85.9,180.0,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.074999,-72.009999,-90.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,154.674999,-85.359999,-90.0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.7,-71.6,0.0,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.3,-86.7,0.0,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,171.0,-73.2,-90.0,top
C9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,171.0,-88.6,-90.0,top
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.2,-64.7,-90.0,top
C11,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,130.3,-64.7,-90.0,top
D1,LBAT54HT1G,D_SOD-323,121.1,-63.4,-90.0,top
J1,Conn_01x03_Female,PinSocket_1x03_P2.54mm_Vertical,150.875,-54.975,0.0,top
J2,MMCX-KE-STM,MMCX-SMD_KH-MMCX-KE-STM,134.124999,-85.534999,0.0,top
J3,MMCX-KE-STM,MMCX-SMD_KH-MMCX-KE-STM,133.124999,-72.724999,0.0,top
J4,Conn_01x02_Male_2.54mm,PinHeader_1x02_P2.54mm_Vertical,116.3,-85.2,0.0,top
J5,MMCX-KE-STM,MMCX-SMD_KH-MMCX-KE-STM,133.124999,-78.534999,0.0,top
J6,MMCX-KE-STM,MMCX-SMD_KH-MMCX-KE-STM,134.124999,-91.534999,0.0,top
J7,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,113.3,-78.9,270.0,top
J8,Conn_01x03_Female,PinSocket_1x03_P2.54mm_Vertical,156.6,-89.86,270.0,top
J9,Conn_01x03_Female,PinSocket_1x03_P2.54mm_Vertical,158.124999,-74.534999,270.0,top
J10,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,176.225,-70.9,270.0,top
J11,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,175.625,-87.2,270.0,top
J12,USB-C,my_HRO-TYPE-C-31-M-17,117.57,-63.0,180.0,top
R1,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.299999,-74.734999,180.0,top
R2,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.299999,-76.734999,180.0,top
R3,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.524999,-87.734999,180.0,top
R4,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.549999,-89.534999,180.0,top
U1,FM24C64C,SOIC-8_3.9x4.9mm_P1.27mm,122.8,-81.5,90.0,top
U2,HX710B,SOP-8_3.9x4.9mm_P1.27mm,149.599999,-73.899999,270.0,top
U3,HX710C,SOP-8_3.9x4.9mm_P1.27mm,148.424999,-86.934999,270.0,top
U4,2PAI_pi121M31,SOIC-8_3.9x4.9mm_P1.27mm,166.1,-76.2,270.0,top
U5,2PAI_pi121M31,SOIC-8_3.9x4.9mm_P1.27mm,165.9,-91.7,270.0,top
U6,LP5907MFX-3.3,SOT-23-5,126.4,-64.7,180.0,top
