Comment,Designator,Footprint,LCSC
TPS61165,U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C122568
INA219AxD,U3,SOIC-8_3.9x4.9mm_P1.27mm,C138706
Conn_01x03_Female,J6,PinSocket_1x03_P2.54mm_Vertical,C146243
100nF,C4,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C14663
BZT52C5V1,D2,D_SOD-123,C173407
KAQY212A,U2,SMD-4_L4.6-W6.4-P2.54-LS10.0-BR,C194713
220nF,C1,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C21120
MBR0540,D1,D_SOD-123,C21353
A2001WV-2P,"J2,J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C225188
1,"R1,R3",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C22936
4.99K,"R4,R5",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C23046
390,R2,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C23151
EMI_Filter_LL,FL1,LL_FILTER-SMD_4P-L9.2-W6.0-TL,C261397
1uF_0805_50V,C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323
USB_C_KoreanHroparts_6P,J1,my_HRO-TYPE-C-31-M-17,C283540
4.7uF_0805_25V,C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C354262
A1001WV-S-04P,J7,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C371588
Conn_01x02_Female,J3,PinSocket_1x02_P2.54mm_Vertical,C49661
10uH,L1,IND-SMD_L4.7-W4.7,C89448
