Comment,Designator,Footprint,LCSC
TPS61165,U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C122568
INA219AxD,U3,SOIC-8_3.9x4.9mm_P1.27mm,C138706
100nF,"C4,C5",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
BZT52C5V1,D2,D_SOD-123,C173407
KAQY212A,U2,SMD-4_L4.6-W6.4-P2.54-LS10.0-BR,C194713
220nF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C21120
MBR0540,D1,D_SOD-123,C21353
A2001WR-2P,"J2,J3,J5",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C225207
Conn_01x03_Female,J4,PinSocket_1x03_P2.54mm_Horizontal,C225511
1,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22936
2,"R1,R2",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22977
4.99K,"R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23046
390,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23151
EMI_Filter_LL,FL1,LL_FILTER-SMD_4P-L9.2-W6.0-TL,C261397
1uF_0805_50V,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
USB_C_KoreanHroparts_6P,J1,USB-C-KoreanHroparts,C283540
LED,D3,LED-SMD_L3.0-W1.4-FD_RED,C2843787
4.7uF_0805_25V,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C354262
A1001WV-S-04P,"J6,J7",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C371588
FM24V05-GTR,U4,SOIC-8_3.9x4.9mm_P1.27mm,C66021
10uH,L1,IND-SMD_L4.7-W4.7,C89448
