Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.6,-83.0,90.0,top
C2,1uF_0805_50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.7,-81.075,-90.0,top
C3,4.7uF_0805_25V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.6,-83.7,90.0,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.1,-77.5,0.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.0,-88.9,90.0,top
D1,MBR0540,D_SOD-123,148.9,-80.0,180.0,top
D2,BZT52C5V1,D_SOD-123,153.1,-86.1,180.0,top
D3,LED,LED-SMD_L3.0-W1.4-FD_RED,158.7,-81.6,-90.0,top
FL1,EMI_Filter_LL,LL_FILTER-SMD_4P-L9.2-W6.0-TL,131.0,-83.5,0.0,top
J1,USB_C_KoreanHroparts_6P,USB-C-KoreanHroparts,120.389,-83.8,-90.0,top
J2,A2001WR-2P,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,119.35,-74.4,-90.0,top
J3,A2001WR-2P,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,119.35,-66.2,-90.0,top
J4,Conn_01x03_Female,PinSocket_1x03_P2.54mm_Horizontal,144.875,-52.8,-90.0,top
J5,A2001WR-2P,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,155.6,-65.2,90.0,top
J6,A1001WV-S-04P,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,135.2,-49.7,0.0,top
J7,A1001WV-S-04P,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,126.8,-49.7,0.0,top
L1,10uH,IND-SMD_L4.7-W4.7,143.4,-83.3,90.0,top
R1,2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,146.1,-90.3,0.0,top
R2,2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.5,-86.4,-90.0,top
R3,1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,153.1,-70.9,-90.0,top
R4,390,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,141.0,-61.7,180.0,top
R5,4.99K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.9,-70.3,0.0,top
R6,4.99K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.9,-68.3,0.0,top
U1,TPS61165,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,147.93,-83.43,180.0,top
U2,KAQY212A,SMD-4_L4.6-W6.4-P2.54-LS10.0-BR,144.8,-65.5,180.0,top
U3,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,148.1,-73.8,0.0,top
U4,FM24V05-GTR,SOIC-8_3.9x4.9mm_P1.27mm,135.5,-92.3,90.0,top
