Comment,Designator,Footprint,LCSC
1uF,C3,C_0402_1005Metric,C126521
TLV2782IDGKR,U3,VSSOP-8_3.0x3.0mm_P0.65mm,C128425
100nF,"C5,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
100nF,"C1,C2,C4",C_0402_1005Metric,C1525
MMBT3904,Q1,SOT-23,C20526
0,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21189
100K,"R3,R4",R_0402_1005Metric,C25741
10K,"R1,R2",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C25804
3.48K,R7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2692970
MMCX-KE-STM,J3,MMCX-SMD_KH-MMCX-KE-STM,C2898970
MCP3421A0T-ECH,U1,SOT-23-6_Handsoldering,C29454
121K,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C311902
Conn_01x04,"J1,J2",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C371571
10K,"R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C374378
MMZ2012Y202B ,L1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C76811
LM334M,U2,SOIC-8_3.9x4.9mm_P1.27mm,C7945
