Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C8,100nF,C_0402_1005Metric,113.05,-88.45,-90.0,top
C9,100nF,C_0402_1005Metric,113.05,-90.535,-90.0,top
C10,1uF,C_0402_1005Metric,114.45,-89.475,-90.0,top
C11,100nF,C_0402_1005Metric,115.35,-92.975,90.0,top
C17,100nF,C_0402_1005Metric,120.65,-94.95,0.0,top
C18,100nF,C_0402_1005Metric,118.265,-95.75,0.0,top
C27,100nF,C_0402_1005Metric,119.25,-84.55,0.0,top
IC2,ADS112C04IPWR,TSSOP-16_4.4x5mm_P0.65mm,119.15,-90.15,180.0,top
J1,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,103.25,-90.55,270.0,top
J2,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,135.75,-90.5,90.0,top
J3,Conn_01x01_Female,PinSocket_1x01_P2.54mm_Vertical,115.65,-83.55,270.0,top
JP1,Jumper_NO_Small,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,107.95,-88.75,-90.0,top
JP2,Jumper_NO_Small,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,107.95,-92.25,-90.0,top
JP9,Jumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,127.15,-96.05,0.0,bottom
JP12,Jumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,127.25,-86.15,0.0,bottom
JP13,Jumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,127.25,-89.85,0.0,bottom
JP14,Jumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,127.15,-93.05,0.0,bottom
L2,MMZ2012Y202B ,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,121.45,-96.75,180.0,top
R1,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,132.05,-96.5,90.0,top
R2,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.4,-96.5,90.0,top
R3,47,R_0402_1005Metric,127.665,-94.85,180.0,top
R4,47,R_0402_1005Metric,128.415,-93.05,0.0,top
R13,10K 0.1%,R_0402_1005Metric,111.168,-92.3,0.0,top
R14,100K,R_0402_1005Metric,111.165,-88.95,180.0,top
R15,100K,R_0402_1005Metric,111.15,-90.05,180.0,top
R23,1K,R_0402_1005Metric,121.55,-84.55,180.0,top
