Comment,Designator,Footprint,LCSC
10uF_1206_50V,C3,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C13585
ISO1541,U3,SOIC-8_3.9x4.9mm_P1.27mm,C143028
100nF,"C1,C10,C11,C12,C4,C9",C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C14663
1uF,"C7,C8",C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C15849
1K,R21,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C21190
TCA9548APWR,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C21198
5.1K_0402,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R3,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25905
4.7uF_1206_50V,C2,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C29823
JST_SH_Conn_01x04_i2c_horizontal,"J1,J10,J2,J3,J4,J5,J6,J7,J8,J9",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C371571
PI120,U4,SOIC-8_3.9x4.9mm_P1.27mm,C471591
MMCX,J11,MMCX_JLC,C530664
10nF,C5,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C57112
LP5907MFX-3.3,U2,SOT-23-5,C80670
B0305S-1WR2,PS1,Converter_DCDC_muRata_CRE1xxxxxx3C_THT,C80854
100uF,C6,CP_EIA-3528-12_Kemet-T,C84455
BC847C,Q1,SOT-23,C8664
6.8uH,L1,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,C87559
