Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF_0402,C_0402_1005Metric,139.7,-85.0,180.0,top
C2,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,161.7,-72.025,90.0,top
C3,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,155.9,-72.125,90.0,top
C4,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.3,-73.425,90.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.6,-102.7,0.0,top
C6,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.0,-73.525,90.0,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,197.5,-100.9,0.0,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,208.0,-99.5,90.0,top
C9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,215.7,-98.5,0.0,top
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,188.3375,-89.7,180.0,top
C11,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,195.2,-89.6,0.0,top
C12,100nF_0402,C_0402_1005Metric,146.3,-87.5,0.0,top
C13,100nF_0402,C_0402_1005Metric,147.3,-86.3,0.0,top
C14,100nF_0402,C_0402_1005Metric,146.0,-101.0,90.0,top
C15,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.7,-82.06,90.0,top
C16,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.7,-99.66,0.0,top
C17,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.1,-92.5,180.0,top
C18,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.9375,-103.8,0.0,top
C19,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,153.7,-102.6,90.0,top
C20,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,168.0,-82.835,90.0,top
C21,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,167.8,-78.735,90.0,top
C22,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.7,-79.785,-90.0,top
