Comment,Designator,Footprint,LCSC
75K_0.1%,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C111588
REF3325,U3,SOT-23,C11334
1K,"R13,R14",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702
100K_0.1%,R7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C122538
HX710C,"U15,U16",SOP-8_3.9x4.9mm_P1.27mm,C124156
LBAT54HT1G,"D1,D2,D3,D4,D5,D6,D7",D_SOD-323,C12744
battery,"J10,J11,J5",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
10uF_1206_50V,"C32,C33",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
100nF,"C10,C11,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C34,C35,C5,C7,C8,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
OPA2388,"U11,U12",SOIC-8_3.9x4.9mm_P1.27mm,C1517414
100nF_0402,"C1,C12,C13,C14,C21",C_0402_1005Metric,C1525
1uF,"C2,C28,C3,C31,C4,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
OPA388,U14,SOT-23-5,C1850240
1K,"R19,R20",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
100,"R11,R15,R16,R17,R18",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22775
10,R10,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C22859
2K,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22975
5.49K,R9,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C23069
RS2105XN,"U10,U8,U9",MSOP-10_3x3mm_P0.5mm,C237025
USB_C_KoreanHroparts_6P,J9,my_HRO-TYPE-C-31-M-17,C283540
4.7uF_1206_50V,"C29,C30",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C29823
10uF,C19,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,C318781
1K 0.1%,R8,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C328422
Conn_01x02_Male_2.54mm,"J2,J3,J4,J6",PinHeader_1x02_P2.54mm_Vertical,C358684
Conn_01x04,"J1,J8",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C371571
1M_0.1%,"R1,R4,R5",R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C374780
INA826,U13,SOIC-8_3.9x4.9mm_P1.27mm,C38433
47uF,C20,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,C396816
PI121,U6,SOIC-8_3.9x4.9mm_P1.27mm,C471589
pi142M31,U7,SOIC-16_3.9x9.9mm_P1.27mm,C471606
pi162U,U4,SOIC-16_3.9x9.9mm_P1.27mm,C471609
10nF,"C36,C37",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112
10K 0.1%,R6,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C723396
5K_0.1%,R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C78980
LP5907MFX-3.3,"U17,U2",SOT-23-5,C80670
B0305S-1WR2-0my_power,"PS1,PS2",Converter_DCDC_Murata_MEE1SxxxxSC_THT,C80854
47uF,"C38,C39",C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,C84494
BC847C,Q1,SOT-23,C8664
NC7SB3157P6X,U1,SOT-363_SC-70-6,C87403
6.8uH,"L1,L2",L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,C87559
FZT851TA,Q2,SOT-223-3_TabPin2,C87950
Conn_Coaxial,"J12,J13,J7",U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88373
seeed_rp2040,U5,DIP-XIAO-QTPY,
